date,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_per_million_pop,total_deaths_per_million_pop,total_tests,total_tests_per_million_pop,population
02/08/2020,USA,"4,765,155",+837,"157,921 ",23.0,"2,363,165",+262,"18,720","14,389",477,"59,229,876","178,849","331,171,664"
02/08/2020,Brazil,"2,708,876",,"93,616 ",,"1,884,051",,"8,318","12,736",440,"13,096,132","61,574","212,690,082"
02/08/2020,India,"1,757,393","+5,474","37,452 ",49.0,"1,149,460","+2,581","8,944","1,272",27,"19,821,831","14,352","1,381,159,795"
02/08/2020,Russia,"850,870","+5,427","14,128 ",70.0,"650,173","+3,649","2,300","5,830",97,"28,793,260","197,295","145,940,072"
02/08/2020,South Africa,"503,290",,"8,153 ",,"342,461",,539,"8,477",137,"3,001,985","50,563","59,371,352"
02/08/2020,Mexico,"434,193","+9,556","47,472 ",784.0,"284,847","+6,229","3,994","3,365",368,"999,697","7,747","129,047,665"
02/08/2020,Peru,"422,183",,"19,408 ",,"290,835",,"1,416","12,790",588,"2,377,948","72,037","33,010,043"
02/08/2020,Chile,"357,658",,"9,533 ",,"330,507",,"1,445","18,696",498,"1,648,390","86,167","19,130,274"
02/08/2020,Spain,"335,602",,"28,445 ",,,,617,"7,178",608,"6,678,414","142,834","46,756,402"
02/08/2020,Iran,"309,437","+2,685","17,190 ",208.0,"268,102","+2,272","4,089","3,680",204,"2,508,418","29,833","84,082,937"
02/08/2020,Colombia,"306,181",,"10,330 ",,"160,708",,"1,493","6,012",203,"1,609,729","31,607","50,928,858"
02/08/2020,UK,"303,952",,"46,193 ",,,,86,"4,475",680,"16,280,223","239,707","67,917,167"
02/08/2020,Pakistan,"279,698",+552,"5,976 ",6.0,"248,577",+550,"1,064","1,264",27,"1,996,167","9,023","221,237,160"
02/08/2020,Saudi Arabia,"277,478",,"2,887 ",,"237,548",,"2,016","7,960",83,"3,395,688","97,413","34,858,507"
02/08/2020,Italy,"247,832",,"35,146 ",,"200,229",,43,"4,100",581,"6,873,496","113,698","60,453,777"
02/08/2020,Bangladesh,"240,746",+886,"3,154 ",22.0,"136,839",+586,,"1,461",19,"1,189,295","7,215","164,829,004"
02/08/2020,Turkey,"231,869",,"5,710 ",,"215,516",,586,"2,747",68,"4,845,669","57,402","84,415,940"
02/08/2020,Germany,"211,077",,"9,226 ",,"193,600",,261,"2,519",110,"8,006,135","95,530","83,807,610"
02/08/2020,Argentina,"196,543",,"3,596 ",,"86,499",,"1,128","4,345",80,"722,950","15,983","45,231,224"
02/08/2020,France,"187,919",,"30,265 ",,"81,500",,371,"2,878",464,"2,982,302","45,680","65,286,338"
02/08/2020,Iraq,"126,704",,"4,805 ",,"89,275",,463,"3,145",119,"1,014,760","25,184","40,293,665"
02/08/2020,Canada,"116,599",,"8,941 ",,"101,436",,"2,249","3,087",237,"4,098,752","108,517","37,770,506"
02/08/2020,Indonesia,"111,455","+1,519","5,236 ",43.0,"68,975","+1,056",,407,19,"1,517,381","5,543","273,768,876"
02/08/2020,Qatar,"111,107",+196,177 ,3.0,"107,779",+201,76,"39,571",63,"500,536","178,266","2,807,805 "
02/08/2020,Philippines,"103,185","+5,032","2,059 ",20.0,"65,557",+300,351,941,19,"1,536,626","14,007","109,702,792"
02/08/2020,Egypt,"94,316",,"4,834 ",,"41,137",,41,920,47,"135,000","1,317","102,490,117"
02/08/2020,Kazakhstan,"91,593","+1,226",793 ,,"61,839","+1,014",221,"4,873",42,"2,079,540","110,640","18,795,599"
02/08/2020,Ecuador,"86,232",,"5,736 ",,"36,213",,369,"4,881",325,"246,028","13,927","17,665,162"
02/08/2020,Sweden,"80,422",,"5,743 ",,,,40,"7,959",568,"810,356","80,196","10,104,737"
02/08/2020,Oman,"79,159",,421 ,,"61,421",,187,"15,471",82,"305,651","59,736","5,116,667"
02/08/2020,Bolivia,"78,793","+2,004","3,064 ",87.0,"23,968",+386,71,"6,742",262,"168,175","14,391","11,686,283"
02/08/2020,Israel,"72,315",+97,531 ,5.0,"45,631",+529,340,"7,862",58,"1,651,766","179,587","9,197,590 "
02/08/2020,Ukraine,"72,168","+1,112","1,725 ",16.0,"39,543",+235,128,"1,651",39,"1,058,383","24,214","43,709,428"
02/08/2020,Dominican Republic,"71,415",,"1,170 ",,"37,509",,284,"6,578",108,"260,171","23,963","10,857,163"
02/08/2020,Belgium,"69,402",+651,"9,845 ",4.0,"17,573",+27,56,"5,986",849,"1,694,349","146,140","11,594,051"
02/08/2020,Belarus,"67,946",,563 ,,"62,686",,,"7,191",60,"1,309,823","138,620","9,449,043"
02/08/2020,Kuwait,"67,911",+463,457 ,4.0,"59,213",+688,129,"15,883",107,"509,561","119,173","4,275,795"
02/08/2020,Panama,"66,383",,"1,449 ",,"40,081",,166,"15,365",335,"226,596","52,448","4,320,353"
02/08/2020,UAE,"60,999",+239,351 ,,"54,615",+360,,"6,161",35,"5,162,080","521,399","9,900,447"
02/08/2020,Netherlands,"54,732",,"6,148 ",,,,22,"3,194",359,"962,965","56,188","17,138,239"
02/08/2020,Romania,"53,186","+1,075","2,413 ",34.0,"27,592",+246,412,"2,766",126,"1,240,273","64,511","19,225,767"
02/08/2020,Singapore,"52,825",+313,27 ,,"46,740",,,"9,023",5,"1,321,094","225,662","5,854,304"
02/08/2020,Portugal,"51,310",,"1,737 ",,"36,783",,40,"5,033",170,"1,622,951","159,207","10,193,998"
02/08/2020,Guatemala,"50,979",,"1,959 ",,"37,873",,5,"2,841",109,"160,626","8,952","17,942,365"
02/08/2020,Poland,"46,894",+548,"1,731 ",10.0,"34,709",+335,76,"1,239",46,"2,297,427","60,710","37,842,866"
02/08/2020,Nigeria,"43,537",,883 ,,"20,087",,7,211,4,"283,916","1,375","206,536,291"
02/08/2020,Honduras,"42,685",+671,"1,368 ",31.0,"5,694",+140,43,"4,304",138,"105,820","10,670","9,917,550"
02/08/2020,Bahrain,"41,190",,147 ,,"38,211",,43,"24,146",86,"835,211","489,614","1,705,856"
02/08/2020,Armenia,"39,050",+209,754 ,5.0,"29,750",+193,10,"13,176",254,"166,701","56,247","2,963,736"
02/08/2020,Ghana,"37,014",,182 ,,"33,365",,8,"1,189",6,"396,731","12,747","31,124,604"
02/08/2020,Kyrgyzstan,"36,719",+420,"1,409 ",12.0,"27,274",+855,24,"5,621",216,"267,718","40,979","6,533,007"
02/08/2020,Afghanistan,"36,710",,"1,283 ",,"25,509",,31,941,33,"89,255","2,289","38,997,440"
02/08/2020,Japan,"35,836",,"1,011 ",,"25,506",,80,283,8,"824,748","6,523","126,441,125"
02/08/2020,Switzerland,"35,550",+138,"1,981 ",,"31,300",,25,"4,105",229,"801,742","92,579","8,660,089"
02/08/2020,Azerbaijan,"32,157",,454 ,,"26,474",,66,"3,169",45,"732,236","72,163","10,146,996"
02/08/2020,Algeria,"30,950",,"1,223 ",,"20,988",,64,705,28,,,"43,915,247"
02/08/2020,Ireland,"26,109",,"1,763 ",,"23,364",,4,"5,283",357,"636,085","128,698","4,942,447"
02/08/2020,Serbia,"25,882",,582 ,,"14,047",,159,"2,963",67,"678,093","77,637","8,734,143"
02/08/2020,Moldova,"25,113",,789 ,1.0,"17,816",+245,362,"6,227",196,"128,076","31,756","4,033,111"
02/08/2020,Uzbekistan,"25,040",+257,149 ,2.0,"15,299",,185,747,4,"1,377,915","41,120","33,509,398"
02/08/2020,Morocco,"25,015",,367 ,,"17,960",,31,677,10,"1,273,939","34,480","36,947,384"
02/08/2020,Kenya,"21,363",,364 ,,"8,419",,44,397,7,"310,330","5,761","53,864,942"
02/08/2020,Austria,"21,304",+92,718 ,,"18,984",+73,20,"2,364",80,"905,314","100,469","9,010,877"
02/08/2020,Nepal,"20,332",+246,57 ,1.0,"14,603",+111,,697,2,"703,672","24,115","29,179,318"
02/08/2020,Venezuela,"19,443",,169 ,,"11,129",,25,684,6,"1,545,895","54,378","28,428,595"
02/08/2020,Costa Rica,"18,187",,154 ,,"4,531",,94,"3,567",30,"88,861","17,430","5,098,095"
02/08/2020,Ethiopia,"17,999",,284 ,,"7,195",,138,156,2,"429,712","3,731","115,184,716"
02/08/2020,Australia,"17,895",+613,208 ,7.0,"10,204",+2,46,701,8,"4,359,636","170,800","25,524,823"
02/08/2020,El Salvador,"17,448",+398,467 ,8.0,"8,634",+139,493,"2,689",72,"243,842","37,577","6,489,068"
02/08/2020,Cameroon,"17,255",,391 ,,"15,320",,30,649,15,"149,000","5,602","26,597,133"
02/08/2020,Czechia,"16,699",,383 ,,"11,587",,19,"1,559",36,"698,635","65,227","10,710,749"
02/08/2020,Ivory Coast,"16,109",,102 ,,"11,750",,,610,4,"101,583","3,844","26,428,999"
02/08/2020,S. Korea,"14,366",+30,301 ,,"13,259",+26,13,280,6,"1,576,246","30,742","51,273,132"
02/08/2020,Denmark,"13,789",,615 ,,"12,578",,3,"2,380",106,"1,532,427","264,485","5,794,001"
02/08/2020,Bosnia and Herzegovina,"12,296",+420,352 ,13.0,"6,312",+353,,"3,750",107,"139,343","42,497","3,278,927"
02/08/2020,Palestine,"12,160",,83 ,,"5,324",,,"2,379",16,"155,355","30,398","5,110,716"
02/08/2020,Bulgaria,"11,836",,385 ,,"6,396",,43,"1,705",55,"271,000","39,029","6,943,565"
02/08/2020,Sudan,"11,738",,752 ,,"6,137",,,267,17,401,9,"43,929,512"
