date,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_per_million_pop,total_deaths_per_million_pop,total_tests,total_tests_per_million_pop,case_growth_rate,death_growth_rate,pop_millions,first_case_date
2020-04-09,0,496605,32387,17478,1851,31384,447743,10908,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2020-04-09,0,778688,33772,65818,4552,185320,527550,30359,0.0,0.0,0,0.0,6.8005759104318315,26.0441698134798,0.0,0
2020-04-09,0,263217,9845,9890,360,128941,124386,6444,0.0,0.0,0,0.0,1.2643061149009616,0.5469628369139141,0.0,0
2020-04-09,0,39453,3991,1603,209,4115,33735,1129,0.0,0.0,0,0.0,1.5162394526189418,2.1132457027300307,0.0,0
2020-04-09,0,7429,81,52,1,3305,4072,85,0.0,0.0,0,0.0,0.20530758117253442,0.06238303181534623,0.0,0
2020-04-09,0,12799,813,629,53,1717,10453,154,0.0,0.0,0,0.0,10.943599407726477,101.92307692307692,0.0,0
2020-04-09,0,721,0,13,0,619,89,10,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2020-01-22,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-01-23,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-01-24,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-01-25,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-01-26,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-01-27,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-01-28,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-01-29,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-01-30,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-01-31,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-01,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-02,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-03,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-04,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-05,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-06,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-07,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-08,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-09,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-10,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-11,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-12,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-13,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-14,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-15,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-16,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-17,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-18,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
2020-02-19,Afghanistan,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,36.66666667,Feb-23
