date,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_per_million_pop,total_deaths_per_million_pop,total_tests,total_tests_per_million_pop,population,case_growth_rate,death_growth_rate,pop_millions,first_case_date
2020-08-03,Afghanistan,36747,37,1288,4,25669,159,31,942,33,89377,2292,38999842,0.0,0.0,36.66666667,Feb-23
2020-08-03,Albania,5620,101,172,6,3031,13,16,1953,60,37503,13033,2877505,0.2748523689008627,0.4658385093167702,2.8970588239999997,Mar-07
2020-08-03,Algeria,31972,507,1239,8,21901,482,57,728,28,0,0,43917413,9.02135231316726,4.651162790697675,45.4,Feb-24
2020-08-03,Andorra,937,12,52,0,821,14,0,12125,673,3750,48527,77276,0.03753284123608157,0.0,0.077270447,Mar-01
2020-08-03,Angola,1280,81,58,3,476,15,20,39,2,64747,1965,32945075,8.64461045891142,5.769230769230769,25.0,Mar-19
2020-08-03,Anguilla,3,0,0,0,3,0,0,200,0,537,35764,15015,0.0,0.0,0.015037594,Mar-25
2020-08-03,Antigua and Barbuda,91,0,3,0,67,0,1,929,31,1387,14153,98001,0.0,0.0,0.098591549,Mar-12
2020-08-03,Argentina,201919,0,3667,19,91302,2276,1122,4464,81,747907,16535,45232356,0.0,633.3333333333333,46.0,Mar-02
2020-08-03,Armenia,39102,52,762,8,29861,111,10,13193,257,167095,56380,2963751,0.02575290091571373,0.218161985274066,2.97080292,Feb-29
2020-08-03,Aruba,124,2,3,0,112,1,0,1161,28,13173,123335,106807,0.005114827886041635,0.0,0.10672853800000001,Mar-12
2020-08-03,Australia,18318,395,221,13,10622,202,43,718,9,4425326,173368,25525632,318.5483870967742,433.3333333333333,25.41958042,Jan-24
2020-08-03,Austria,21385,81,718,0,19063,79,21,2373,80,910437,101036,9011017,0.4421880117916803,0.0,9.009803922,Feb-24
2020-08-03,Azerbaijan,32684,241,468,6,27760,647,66,3221,46,744837,73403,10147245,1.1269581482347442,0.8356545961002786,10.11111111,Feb-27
2020-08-03,Bahamas,648,0,14,0,91,0,1,1646,36,4410,11205,393575,0.0,0.0,0.4,Mar-14
2020-08-03,Bahrain,41835,299,150,3,39007,341,46,24522,88,842992,494128,1706019,46.141975308641975,21.428571428571427,1.7,Feb-23
2020-08-03,Bangladesh,242102,1356,3184,30,137905,1066,0,1469,19,1193544,7241,164833483,3.241305127285766,20.0,160.0,Mar-07
2020-08-03,Barbados,132,0,7,0,98,0,0,459,24,11558,40215,287407,0.0,0.0,0.288888889,Mar-16
2020-08-03,Belarus,68166,99,571,4,62943,47,0,7214,60,1323814,140100,9449035,75.0,57.14285714285714,9.4,Feb-27
2020-08-03,Belgium,69849,447,9845,0,17590,17,57,6024,849,1703059,146889,11594189,0.6557521344952029,0.0,11.59137056,Feb-03
2020-08-03,Belize,57,0,2,0,30,0,2,143,5,3484,8749,398233,0.0,0.0,0.4,Mar-22
2020-08-03,Benin,1805,0,36,0,1036,0,1,149,3,85863,7068,12148494,0.0,0.0,12.0,Mar-15
2020-08-03,Bermuda,157,0,9,0,143,0,0,2522,145,22755,365507,62256,0.0,0.0,0.062271062,Mar-17
2020-08-03,Bhutan,103,1,0,0,89,0,0,133,0,51141,66215,772350,0.6369426751592357,0.0,0.75,Mar-05
2020-08-03,Bolivia,80153,1360,3153,89,24156,188,71,6858,270,171637,14687,11686718,1320.388349514563,inf,12.33333333,Mar-09
2020-08-03,Bosnia and Herzegovina,12462,166,362,10,6359,47,0,3801,110,142404,43431,3278872,0.2071039137649246,0.3171582619727244,3.270588235,Mar-04
2020-08-03,Botswana,804,0,2,0,63,0,1,341,0,68423,29047,2355556,0.0,0.0,0.0,0
2020-08-03,Brazil,2736298,2621,94226,96,1884051,0,8318,12865,443,13196132,62043,212694204,325.9950248756219,4800.0,216.88888889999998,Feb-24
2020-08-03,British Virgin Islands,8,0,1,0,7,0,0,264,33,1253,41423,30249,0.0,0.0,0.03030303,Mar-24
2020-08-03,Brunei ,141,0,3,0,138,0,0,322,7,41148,93978,437848,0.0,0.0,0.43795620399999996,Mar-08
2020-08-03,Bulgaria,11955,0,388,0,6420,0,46,1722,56,272491,39244,6943423,0.0,0.0,6.895833333,Mar-06
2020-08-03,Burkina Faso,1150,7,53,0,947,2,0,55,3,0,0,20948564,0.05855290673358427,0.0,20.7,Mar-08
2020-08-03,Burundi,395,0,1,0,304,0,0,33,0,15614,1310,11918328,0.0,0.0,0.0,0
2020-08-03,CAR,4614,0,59,0,1635,0,2,954,12,29533,6106,4836834,0.0,0.0,5.0,Mar-14
2020-08-03,Cabo Verde,2583,36,25,1,1911,51,0,4641,45,41634,74812,556515,0.7802340702210664,1.694915254237288,0.5555555560000001,Mar-19
2020-08-03,Cambodia,240,0,0,0,197,1,1,14,0,65974,3941,16738846,0.0,0.0,16.5,Jan-26
2020-08-03,Cameroon,17255,0,391,0,15320,0,30,649,15,149000,5602,26598944,0.0,0.0,30.33333333,Mar-05
2020-08-03,Canada,117031,147,8947,2,101597,23,2253,3098,237,4178195,110618,37771409,0.8519269776876268,0.5115089514066496,37.7,Jan-24
2020-08-03,Caribbean Netherlands,13,0,0,0,7,0,0,495,0,424,16156,26244,0.0,0.0,0.0,0
2020-08-03,Cayman Islands,203,0,1,0,202,0,0,3086,15,30122,457858,65789,0.0,0.0,0.06557377,Mar-12
2020-08-03,Chad,936,0,75,0,814,1,0,57,5,0,0,16462793,0.0,0.0,15.0,Mar-18
2020-08-03,Channel Islands,591,4,47,0,533,0,0,3396,270,30721,176553,174004,0.4273504273504274,0.0,0.173835125,Mar-08
2020-08-03,Chile,361493,1762,9707,99,333976,1565,235,18896,507,1697558,88735,19130722,298.1387478849408,210.63829787234042,19.09,Mar-02
2020-08-03,China,84428,43,4634,0,79013,10,35,59,3,90410000,62814,1439323776,0.01189511276843535,0.0,1427.964912,Jan-10
2020-08-03,Colombia,317651,0,10650,0,167239,0,1493,6237,209,1647396,32346,50930338,0.0,0.0,50.66666667,Mar-05
2020-08-03,Comoros,386,0,7,0,330,0,0,443,8,0,0,871123,0.0,0.0,0.0,0
2020-08-03,Congo,3546,346,58,4,1589,760,0,641,10,0,0,5529017,89.63730569948186,57.14285714285714,5.714285714,Mar-14
2020-08-03,Costa Rica,19402,427,171,9,4689,104,97,3806,34,92680,18179,5098222,12.041737168640722,15.517241379310345,5.086206897,Mar-04
2020-08-03,Croatia,5294,34,153,4,4438,65,6,1290,37,122083,29756,4102852,0.17523966601381302,2.3391812865497075,4.10625,Feb-24
2020-08-03,Cuba,2670,24,87,0,2373,4,1,236,8,274474,24234,11325974,0.4533434076312807,0.0,10.81818182,Mar-10
2020-08-03,Curaçao,29,0,1,0,24,0,0,177,6,1080,6579,164154,0.0,0.0,0.0,0
2020-08-03,Cyprus,1155,5,19,0,856,0,0,956,16,210028,173844,1208142,17.24137931034483,0.0,1.209459459,Mar-08
2020-08-03,Czechia,16880,80,386,2,11706,101,19,1576,36,706461,65958,10710803,6.926406926406926,10.526315789473683,10.69512195,Feb-29
2020-08-03,DRC,9133,18,215,0,7424,105,0,102,2,0,0,89772291,0.10663507109004738,0.0,92.85714286,Mar-09
2020-08-03,Denmark,13996,207,616,1,12682,104,2,2416,106,1587403,273971,5794056,2.2665060768641188,0.46511627906976744,5.792105263,Feb-26
2020-08-03,Diamond Princess,712,0,13,0,651,0,4,0,0,0,0,0,0.0,0.0,1.0,Feb-04
2020-08-03,Djibouti,5240,79,59,0,5028,9,0,5297,60,58088,58720,989229,11.095505617977528,0.0,1.0,Mar-17
2020-08-03,Dominica,18,0,0,0,18,0,0,250,0,1005,13958,72002,0.0,0.0,0.071895425,Mar-21
2020-08-03,Dominican Republic,73117,874,1183,5,38824,580,385,6734,109,268529,24732,10857460,4855.555555555556,inf,10.89393939,Feb-29
2020-08-03,Ecuador,87041,517,5767,17,59344,0,366,4927,326,247583,14015,17665894,0.7070859034150745,1.4370245139475908,17.69902913,Feb-28
2020-08-03,Egypt,94640,157,4888,23,44066,1611,41,923,48,135000,1317,102495399,0.18037476591491367,0.3988208774059303,96.0,Feb-13
2020-08-03,El Salvador,17843,395,477,10,8809,175,496,2750,74,246302,37956,6489157,0.41737109044801357,0.20458265139116205,6.333333333,Mar-18
2020-08-03,Equatorial Guinea,4821,0,83,0,2182,0,0,3428,59,44356,31537,1406495,0.0,0.0,1.333333333,Mar-13
2020-08-03,Eritrea,282,3,0,0,225,0,0,79,0,0,0,3550638,0.06222775357809583,0.0,3.0,Mar-20
2020-08-03,Estonia,2080,1,63,0,1935,1,0,1568,47,120342,90713,1326617,0.3546099290780142,0.0,1.3271604940000001,Feb-26
2020-08-03,Eswatini,2838,63,45,2,1253,39,5,2444,39,20784,17898,1161217,3.0288461538461537,3.1746031746031744,1.125,Mar-13
2020-08-03,Ethiopia,19289,583,336,26,7931,330,153,167,3,444226,3856,115192520,20.54263565891473,57.77777777777777,160.0,Mar-12
2020-08-03,Faeroe Islands,225,0,0,0,192,0,1,4603,0,39520,808511,48880,0.0,0.0,0.048865069000000004,Mar-03
2020-08-03,Falkland Islands,13,0,0,0,13,0,0,3727,0,1816,520642,3488,0.0,0.0,0.0,0
2020-08-03,Fiji,27,0,1,0,18,0,0,30,1,6693,7461,897024,0.0,0.0,0.833333333,Mar-18
2020-08-03,Finland,7466,13,329,0,6950,0,0,1347,59,367814,66374,5541511,48.148148148148145,0.0,5.530805687000001,Jan-28
2020-08-03,France,191295,556,30294,22,81500,0,371,2930,464,2982302,45680,65286732,7.447093490490222,6.68693009118541,65.234375,Jan-23
2020-08-03,French Guiana,7948,91,44,1,6767,236,25,26555,147,39369,131537,299300,0.04757050628610261,0.0033009836931405558,0.29787234,Mar-06
2020-08-03,French Polynesia,62,0,0,0,62,0,0,221,0,5390,19178,281054,0.0,0.0,0.280373832,Mar-10
2020-08-03,Gabon,7646,115,51,1,5408,185,11,3429,23,79255,35541,2229988,185.48387096774192,inf,2.333333333,Mar-12
2020-08-03,Gambia,498,0,9,0,68,0,0,206,4,4859,2006,2422009,0.0,0.0,3.0,Mar-16
2020-08-03,Georgia,1179,2,17,0,959,4,5,296,4,225145,56449,3988451,0.4016064257028112,0.0,3.913043478,Feb-25
2020-08-03,Germany,212320,858,9232,6,193600,0,270,2533,110,8006135,95529,83808340,72.7735368956743,35.294117647058826,83.73730044,Jan-26
2020-08-03,Ghana,37812,798,191,9,34313,948,8,1215,6,399446,12833,31126380,0.3758477769404672,0.09748700173310225,28.2,Mar-11
2020-08-03,Gibraltar,188,0,0,0,183,0,0,5580,0,21783,646572,33690,0.0,0.0,0.033694344,Mar-02
2020-08-03,Greece,4737,75,209,1,1374,0,13,455,20,564856,54218,10418226,39.8936170212766,inf,10.40196078,Feb-25
2020-08-03,Greenland,14,0,0,0,13,0,0,247,0,5876,103489,56779,0.0,0.0,0.056818182,Mar-15
2020-08-03,Grenada,24,0,0,0,23,0,0,213,0,6252,55539,112570,0.0,0.0,0.112903226,Mar-21
2020-08-03,Guadeloupe,272,7,14,0,179,0,0,680,35,17682,44191,400130,29.166666666666668,0.0,0.4,Mar-12
2020-08-03,Guatemala,51542,236,2013,18,39346,930,5,2872,112,161606,9006,17943272,86.76470588235294,128.57142857142858,17.0,Mar-12
2020-08-03,Guinea,7364,47,46,0,6505,25,24,560,3,14407,1095,13160997,0.09118776919793567,0.0,13.33333333,Mar-12
2020-08-03,Guinea-Bissau,1981,0,27,0,803,0,5,1005,14,1500,761,1971768,0.0,0.0,2.0,Mar-24
2020-08-03,Guyana,474,0,21,0,185,0,3,602,27,4893,6218,786895,0.0,0.0,0.8,Mar-11
2020-08-03,Haiti,7476,8,165,0,4606,0,0,655,14,17839,1563,11414585,1.6877637130801686,0.0,11.42857143,Mar-19
2020-08-03,Honduras,43197,512,1377,9,5794,100,43,4355,139,105820,10670,9917981,6.848582129481005,5.454545454545454,9.5,Mar-10
2020-08-03,Hong Kong,3592,80,38,4,2037,78,43,479,5,593962,79170,7502377,0.185198046160613,0.29048656499636893,7.466666667,Jan-22
2020-08-03,Hungary,4544,9,597,0,3413,24,7,470,62,346962,35925,9658051,0.2505567928730512,0.0,9.527777777999999,Mar-03
2020-08-03,Iceland,1915,8,10,0,1825,0,0,5609,29,142224,416540,341441,0.17605633802816903,0.0,0.341247342,Feb-27
2020-08-03,India,1855331,50629,38971,810,1230440,43212,8944,1343,28,20202858,14627,1381196835,2643.8120104438644,8100.0,1410.0,Jan-29
2020-08-03,Indonesia,113134,1679,5302,66,70237,1262,0,413,19,1552141,5669,273776774,0.0904959815795672,0.1693567011367427,288.75,Mar-01
2020-08-03,Iran,312035,2598,17405,215,270228,2126,4104,3711,207,2534658,30144,84085874,2.2963918892640587,4.055073557148246,83.90521327,Feb-18
2020-08-03,Iraq,131886,2735,4934,66,94111,2225,514,3273,122,1042806,25879,40296137,0.8765042383066002,0.37920137891410516,38.92307692,Feb-21
2020-08-03,Ireland,26208,46,1763,0,23364,0,4,5302,357,636085,128694,4942598,0.034878607282046614,0.0,4.938650307,Feb-28
2020-08-03,Isle of Man,336,0,24,0,312,0,0,3950,282,8239,96845,85074,0.0,0.0,0.08510638300000001,Mar-18
2020-08-03,Israel,74430,1615,546,10,47571,1894,331,8092,59,1794889,195148,9197590,480.65476190476187,41.66666666666667,8.657894737000001,Feb-20
2020-08-03,Italy,248229,159,35166,12,200589,129,41,4106,582,6940801,114812,60453535,0.2136235388956066,2.197802197802198,60.47874428,Jan-29
2020-08-03,Ivory Coast,16220,38,102,0,11887,86,0,614,4,103112,3901,26430789,0.015308445024553939,0.0,25.25,Mar-10
2020-08-03,Jamaica,894,11,12,2,743,0,0,302,4,39769,13425,2962337,0.06781750924784216,1.9607843137254901,3.0,Mar-09
2020-08-03,Japan,36689,0,1011,0,25906,0,83,290,8,836404,6615,126440072,0.0,0.0,130.2307692,Jan-14
2020-08-03,Jordan,1218,5,11,0,1131,32,3,119,1,611875,59917,10212032,0.013628062907138378,0.0,10.25,Mar-01
